Parent-Region,Region,SQL unique_name,time to 75% daily utility in weeks,time to 25% daily utility in weeks,Aver. cost per week,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec,Safety from crime,nature & wildlife,hiking,beach,watersports,entertainment,wintersports,culture,culinary,cities & architecture,shopping,Reference,Note
Brazil,Brazil Southeast,BRA_SE,1,4,625,-,-,o,+,++,++,++,++,+,o,-,-,-,o,-,+,o,o,--,++,o,++,+,,
Brazil,Brazil South,BRA_SO,1,4,625,++,++,++,+,+,o,o,o,+,+,++,++,-,-,-,o,-,o,--,o,o,-,-,,
South America,Chile North and Central,CHL_NC,2,12,400,+,++,++,++,+,o,o,o,++,++,++,+,+,+,o,--,-,o,--,+,o,o,o,,Noerdlich von Los Rios
South America,Paraguay,PRY,1,4,400,o,o,o,+,++,++,++,++,++,+,o,o,+,o,-,--,--,-,--,o,o,-,o,,
South America,Uruguay,URY,1,4,400,++,++,+,+,o,o,o,o,o,+,++,++,+,o,-,o,-,o,--,o,o,o,o,,
South America,Argentina,,1,4,400,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,,
Argentina,Argentina North,ARG_NO,1,8,400,o,o,o,+,++,++,++,++,++,+,o,o,+,o,o,--,--,-,--,o,o,--,-,https://en.wikipedia.org/wiki/Regions_of_Argentina,"North of Catamarca, Santiago del Estero, Santa Fe, Entre Rios"
Argentina,Argentina Central,ARG_CE,2,12,400,-,o,+,++,++,+,o,o,+,++,++,o,+,o,-,-,-,-,-,+,o,+,o,,La Rioja - Mendoza - La Pampa - Buenos Aires
South America,Patagonia,ARG_SO,2,16,625,++,++,+,-,--,--,--,--,--,-,o,++,+,+,++,--,o,--,-,o,-,--,--,,"Argentinia: South of Neuquen - Rio Negro, Chile: South of Los Lagos"
South America,Antarctica and South Atlantic,ATA,1,12,4500,++,+,o,--,--,--,--,--,--,--,o,++,+,+,o,--,o,--,--,--,--,--,--,,
Africa,Maghreb,,1,8,400,--,-,++,++,++,o,o,o,++,++,++,-,o,o,o,o,o,o,o,o,o,o,o,http://wikitravel.org/en/Africa#Regions,
Maghreb,Morocco,MAR,1,8,390,--,-,++,++,++,o,o,o,++,++,++,-,o,+,o,o,o,+,--,++,+,+,+,,
Maghreb,Algeria,DZA,1,8,450,--,-,++,++,++,o,o,o,++,++,++,-,-,o,-,o,-,o,--,o,o,o,-,,
Maghreb,Tunisia,TUN,1,4,375,--,-,++,++,++,o,o,o,++,++,++,-,-,o,o,+,o,o,--,+,+,o,o,,
Maghreb,Libya,LBY,1,8,500,--,-,++,++,++,o,o,o,++,++,++,-,-,o,-,o,-,o,--,+,o,-,-,,
Africa,Egypt,EGY,1,12,415,-,o,++,++,++,o,-,o,++,++,++,o,o,o,-,+,++,+,--,++,o,+,o,,
Africa,Sahel West,MRT,1,4,400,++,+,-,--,--,--,-,o,o,+,+,++,-,o,-,-,--,-,--,+,o,-,-,,"Mauritania, Mali, Niger"
Africa,Sahel East,TCD,1,4,400,++,++,o,-,--,--,-,-,-,o,+,++,--,o,--,--,--,-,--,+,o,-,--,,"Chad, Sudan"
Africa,West Africa,SEN,1,4,500,+,+,+,o,-,-,-,-,-,-,+,+,-,o,-,+,o,-,--,+,o,o,-,,Senegal - Kamerun
Africa,Central Africa,CAF,2,24,500,+,+,o,o,-,-,-,-,-,-,+,+,--,+,-,--,--,--,--,o,o,-,--,,
Africa,East Africa,,2,8,350,++,++,++,+,o,-,-,-,-,o,+,++,o,o,o,o,o,o,o,o,o,o,o,,
East Africa,"Eritrea, Djibouti, Ethiopia",ERI,2,8,350,++,+,+,+,+,o,-,-,o,+,++,++,o,+,o,-,--,-,--,+,-,o,o,,"Eritrea, Djibouti, Ethiopia"
East Africa,Somalia,SOM,2,8,350,++,++,+,o,o,-,o,o,+,+,+,++,--,o,--,-,-,--,--,-,-,--,--,,Somalia
East Africa,Kenya,KEN,2,8,350,o,o,o,-,-,+,++,++,++,+,o,-,-,+,-,+,o,-,--,o,-,o,o,,
East Africa,Tanzania,TZA,2,8,350,-,-,-,o,+,++,++,++,+,+,o,o,o,+,-,+,o,-,--,o,-,-,o,,
East Africa,"Uganda, Rwanda and Burundi",UGA,2,4,350,++,++,+,o,+,++,++,+,+,o,o,+,o,++,o,--,--,-,--,o,-,-,o,,
Africa,Southern Africa,,2,8,400,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,,
Southern Africa,"Comoros, Mayotte, Mauritius, Reunion",COM,2,8,525,+,+,+,++,++,++,+,+,++,++,++,+,+,+,+,+,+,+,--,o,o,--,-,,"Komoren, Mayotte, Mauritius, Reunion"
Southern Africa,South Africa,ZAF,1,12,385,-,o,++,++,++,o,-,+,++,++,+,-,-,++,+,+,o,+,--,o,o,o,-,,
Southern Africa,Madagascar,MDG,2,12,350,o,o,o,+,+,+,++,++,++,+,+,o,o,+,o,-,+,o,--,o,-,-,-,,
Southern Africa,Namibia,NAM,2,8,385,-,-,+,++,++,++,+,+,++,++,o,-,o,+,+,-,--,o,--,o,o,-,-,,
Southern Africa,Botswana,BWA,2,8,560,-,-,-,o,+,+,+,++,++,++,+,-,+,++,+,--,--,-,--,-,o,-,-,,
Southern Africa,Zambia and Malawi,ZMB,2,8,450,-,-,-,o,++,++,+,+,++,+,o,-,o,++,o,--,--,-,--,o,o,-,-,,
Southern Africa,Mozambique and Zimbabwe,MOZ,2,8,350,-,-,-,o,+,++,+,+,++,++,+,-,-,+,o,+,+,o,--,o,o,o,-,,
Asia,Near and Middle East,,1,5,400,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,,
Near and Middle East,Israel,ISR,1,5,420,o,o,o,+,++,++,+,+,++,++,+,o,o,o,o,o,+,o,--,+,o,+,o,,
Near and Middle East,Jordan and Palestina,JOR,1,5,350,o,o,++,++,++,o,-,-,+,++,++,o,o,o,-,--,--,o,--,+,o,-,-,,
Near and Middle East,Lebanon and Syria,LBN,1,5,350,o,o,++,++,++,o,-,-,+,++,++,o,--,o,-,o,-,-,--,o,o,-,-,,
