Parent-Region,Region,SQL unique_name,time to 75% daily utility in weeks,time to 25% daily utility in weeks,Aver. cost per week,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec,Safety from crime,nature & wildlife,hiking,beach,watersports,entertainment,wintersports,culture,culinary,cities & architecture,shopping,Reference,Note
Europe,Eastern Europe,,1,4,350,-,-,-,o,++,++,+,+,++,++,o,-,+,o,o,-,o,o,o,o,o,o,o,,
Eastern Europe,Czech Republic and Slovakia,CZE,1,4,350,-,-,-,o,++,++,+,+,++,++,o,-,+,o,o,--,--,o,o,+,o,+,o,,
Eastern Europe,Hungary,HUN,1,2,350,-,-,-,o,++,++,+,+,++,++,o,-,+,o,+,-,-,o,-,+,o,+,o,,
Eastern Europe,Baltic states,EST,1,2,350,-,-,-,o,++,++,+,+,++,++,o,-,+,o,o,-,-,o,-,+,o,+,-,,
Eastern Europe,Poland,POL,1,4,350,-,-,-,o,++,++,+,+,++,++,o,-,+,o,-,-,-,o,--,o,o,o,o,,
Eastern Europe,"Belarus, Ukraine and Moldova",BLR,1,4,350,-,-,-,o,++,++,+,+,++,++,o,-,+,o,o,-,-,-,-,o,o,-,-,,
Eastern Europe,"Romania, Bulgaria and Macedonia",ROU,1,4,350,-,-,-,o,++,++,+,+,++,++,o,-,+,o,o,o,o,-,--,o,o,o,-,,
Eastern Europe,"Serbia, Bosnia and Herzegovina, Montenegro",SRB,1,4,350,-,-,-,o,++,++,+,+,++,++,o,-,+,-,-,--,--,-,--,o,o,-,-,,
Eastern Europe,"Albania, Kosovo",ALB,1,2,350,-,-,-,o,++,++,+,+,++,++,o,-,+,-,-,o,-,-,--,o,o,-,-,,
Europe,Southern Europe,,1,8,350,-,-,o,++,++,++,+,+,++,++,+,o,o,o,o,o,o,o,o,o,o,o,o,,
Southern Europe,Corsica and Sardinia,FRA_CO,1,4,350,-,-,o,++,++,++,+,+,++,++,+,o,o,o,o,+,o,-,--,o,o,-,-,,
Southern Europe,Italy and Malta,ITA,1,12,350,-,-,o,++,++,++,+,+,++,++,+,o,o,+,+,+,+,o,--,++,+,++,o,,
Southern Europe,"Greece, mainland",GRC_ML,1,6,350,-,-,o,++,++,++,+,+,++,++,+,o,o,+,+,+,+,o,--,+,+,+,o,,
Southern Europe,"Greece, islands",GRC_IS,1,8,350,-,-,o,++,++,++,+,+,++,++,+,o,o,+,o,++,+,+,--,++,+,o,-,,
Southern Europe,"Spain, mainland",ESP_ML,1,8,350,-,-,o,++,++,++,+,+,++,++,+,o,o,o,-,++,+,+,--,+,+,+,o,,
Southern Europe,"Spain, Balearic Islands",ESP_BA,1,2,350,-,-,o,+,++,++,+,+,++,++,o,-,o,+,+,++,+,++,--,o,+,o,-,,
Southern Europe,"Spain, Canary islands",ESP_CA,1,2,350,+,+,+,++,++,++,+,+,++,++,++,o,o,o,o,+,o,+,--,o,o,o,-,,
Southern Europe,"Portugal, mainland",PRT,1,5,350,-,-,o,++,++,++,+,+,++,++,+,o,o,o,o,+,o,o,--,+,+,+,-,,
Southern Europe,"Portugal, islands",PRT_IS,1,8,350,-,-,o,++,++,++,+,+,++,++,+,o,o,+,+,+,+,o,--,+,o,o,-,,
Southern Europe,Turkey,TUR,1,6,350,-,-,o,++,++,++,+,+,++,++,+,o,o,o,o,+,o,o,o,++,+,+,o,,
Southern Europe,Cyprus,CYP,1,6,350,-,-,o,++,++,++,+,+,++,++,+,o,o,-,o,+,+,o,--,+,o,o,-,,
