,Parent_region,Region,SQL_unique_name,Time_to_75__percentage_daily_utility_in_weeks,Time_to_25__percentage_daily_utility_in_weeks,Avg_cost_per_week,January,February,March,April,May,June,July,August,September,October,November,December,Safety from crime,Nature_wildlife,Hiking,Beach,Water_sports,Entertainment,Winter_sports,Culture,Culinary_arts,Cities_architecture,Shopping
110,South_Asia,Bhutan,BTN,1,8,250,3,3,4,4,3,2,2,2,4,5,5,4,5,5,4,1,1,2,2,4,3,2,1
111,South_Asia,India,,1,12,350,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
112,India,Himalayan_North_and_Plains,IND_NO,1,12,350,5,5,4,4,3,2,1,1,1,5,5,5,3,4,5,1,1,2,2,4,4,4,3
113,India,India_Northeast_and_Bangladesh,IND_NE,1,12,350,5,5,4,3,3,3,1,1,1,4,5,5,2,4,4,2,2,2,1,4,4,3,2
114,India,India_East,IND_EA,2,6,350,5,5,4,3,3,3,1,1,1,4,5,5,3,3,2,2,2,3,1,4,4,4,3
115,India,India_West,IND_WE,2,12,350,5,5,4,3,3,3,1,1,1,4,5,5,3,3,2,4,3,3,1,4,4,3,2
116,India,India_South,IND_SO,1,1,350,5,5,4,3,3,1,1,1,1,3,5,5,3,3,2,4,3,3,1,4,4,4,2
117,South_Asia,Sri_Lanka,LKA,1,8,360,4,4,4,3,2,2,2,3,4,3,4,4,3,3,2,4,4,3,1,4,3,3,2
118,South_Asia,Maldives,MDV,1,4,350,5,5,5,3,2,3,3,3,2,2,2,2,4,2,1,5,5,3,1,3,3,2,1
119,Asia,Southeast_Asia,,1,8,400,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,3,3
120,Southeast_Asia,Myanmar,MMR,2,8,450,5,5,3,1,1,1,2,2,2,3,5,5,4,3,3,3,3,3,1,5,3,2,2
121,Southeast_Asia,Thailand_North_and_Laos,THA_NO,1,8,360,5,5,4,1,1,2,2,2,2,3,5,5,4,4,4,2,1,4,1,4,4,4,2
122,Southeast_Asia,Thailand_South,THA_SO,1,8,375,5,4,4,2,2,3,3,3,3,4,5,5,4,4,3,5,4,3,1,3,4,2,2
123,Southeast_Asia,Vietnam_and_Cambodia,VNM,1,8,375,5,5,4,1,1,2,2,2,2,3,5,5,4,4,3,3,2,3,1,4,3,3,1
124,Southeast_Asia,West_Malaysia_and_Singapur,MYS_WE,1,8,510,3,3,4,4,4,4,3,3,4,4,4,3,5,4,2,4,3,3,1,3,3,4,4
125,Southeast_Asia,Borneo,MYS_BO,2,12,460,2,3,4,4,4,4,3,3,4,4,3,2,4,4,2,3,3,2,1,3,2,1,1
126,Southeast_Asia,Indonesia,,2,16,400,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,3,3
127,Indonesia,Sumatra_and_Java,IDN_SU,2,16,400,1,2,3,3,5,5,5,5,4,3,2,1,4,4,4,3,4,3,1,4,3,4,3
128,Indonesia,Bali_and_Lombok,IDN_BA,1,8,400,1,1,2,3,4,5,5,5,5,4,3,2,4,4,3,4,4,3,1,3,3,3,2
129,Indonesia,Indonesian_islands_west_of_Lombok,IDN_RE,2,16,400,1,1,2,3,4,5,5,5,5,4,3,2,4,4,2,3,3,2,1,3,3,1,1
130,Southeast_Asia,Philippines,PHL,2,12,375,4,5,5,5,3,2,1,1,1,2,2,3,3,3,3,4,4,3,1,4,3,2,2
131,Asia,East_Asia,,1,8,450,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
132,East_Asia,China,,1,4,450,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,3,3
133,China,China_Northeast_Liaoning_to_Heilongjiang_,CHN_NE,1,4,450,1,1,1,2,3,4,5,4,4,3,1,1,4,3,2,2,1,2,3,2,3,2,3
134,China,China_North_Beijing_region_,CHN_NO,1,4,450,1,1,2,3,4,5,4,5,5,4,2,1,4,3,2,2,2,4,2,4,3,4,4
135,China,China_Northwest_Shaanxi_to_Xinjiang_,CHN_NW,1,4,500,1,1,2,3,4,5,5,5,3,3,1,1,4,3,2,1,1,2,1,3,3,2,2
136,China,China_Southwest_Guangxi_to_Tibet_,CHN_SW,1,8,500,1,2,3,4,5,5,4,4,5,4,2,1,4,4,4,1,1,3,2,4,4,2,2
137,China,China_South-central_Sichuan_to_Anhui_,CHN_SC,1,4,450,2,2,3,4,5,4,4,4,5,4,3,2,4,3,3,1,1,3,2,3,4,3,3
138,China,China_Southeast_Hainan_to_Fujian_incl_Hong_Kong_,CHN_SE,1,12,450,3,3,4,5,3,3,4,4,5,5,4,3,4,4,3,4,4,4,1,3,3,5,5
139,China,China_East_Shanghai_region_,CHN_EA,1,4,450,2,2,3,4,5,4,4,4,5,4,3,2,4,4,3,3,3,4,1,4,3,5,5
140,East_Asia,Taiwan,TWN,1,6,510,2,3,5,5,5,2,1,1,5,5,5,3,5,4,4,4,2,3,1,4,3,4,4
