,Parent_region,Region,SQL_unique_name,Time_to_75__percentage_daily_utility_in_weeks,Time_to_25__percentage_daily_utility_in_weeks,Avg_cost_per_week,January,February,March,April,May,June,July,August,September,October,November,December,Safety from crime,Nature_wildlife,Hiking,Beach,Water_sports,Entertainment,Winter_sports,Culture,Culinary_arts,Cities_architecture,Shopping
71,Maghreb,Libya,LBY,1,8,500,2,3,6,6,6,4,4,4,6,6,6,3,3,4,3,4,3,4,2,5,4,3,3
72,Africa,Egypt,EGY,1,12,415,3,4,6,6,6,4,3,4,6,6,6,4,4,4,3,5,6,5,2,6,4,5,4
73,Africa,Sahel_West,MRT,1,4,400,6,5,3,2,2,2,3,4,4,5,5,6,3,4,3,3,2,3,2,5,4,3,3
74,Africa,Sahel_East,TCD,1,4,400,6,6,4,3,2,2,3,3,3,4,5,6,2,4,2,2,2,3,2,5,4,3,2
75,Africa,West_Africa,SEN,1,4,500,5,5,5,4,3,3,3,3,3,3,5,5,3,4,3,5,4,3,2,5,4,4,3
76,Africa,Central_Africa,CAF,2,24,500,5,5,4,4,3,3,3,3,3,3,5,5,2,5,3,2,2,2,2,4,4,3,2
77,Africa,East_Africa,,2,8,350,6,6,6,5,4,3,3,3,3,4,5,6,4,4,4,4,4,4,4,4,4,4,4
78,East_Africa,Eritrea_Djibouti_Ethiopia,ERI,2,8,350,6,5,5,5,5,4,3,3,4,5,6,6,4,5,4,3,2,3,2,5,3,4,4
79,East_Africa,Somalia,SOM,2,8,350,6,6,5,4,4,3,4,4,5,5,5,6,2,4,2,3,3,2,2,3,3,2,2
80,East_Africa,Kenya,KEN,2,8,350,4,4,4,3,3,5,6,6,6,5,4,3,3,5,3,5,4,3,2,4,3,4,4
81,East_Africa,Tanzania,TZA,2,8,350,3,3,3,4,5,6,6,6,5,5,4,4,4,5,3,5,4,3,2,4,3,3,4
82,East_Africa,Uganda_Rwanda_and_Burundi,UGA,2,4,350,6,6,5,4,5,6,6,5,5,4,4,5,4,6,4,2,2,3,2,4,3,3,4
83,Africa,Southern_Africa,,2,8,400,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
84,Southern_Africa,Comoros_Mayotte_Mauritius_Reunion,COM,2,8,525,5,5,5,6,6,6,5,5,6,6,6,5,5,5,5,5,5,5,2,4,4,2,3
85,Southern_Africa,South_Africa,ZAF,1,12,385,3,4,6,6,6,4,3,5,6,6,5,3,3,6,5,5,4,5,2,4,4,4,3
86,Southern_Africa,Madagascar,MDG,2,12,350,4,4,4,5,5,5,6,6,6,5,5,4,4,5,4,3,5,4,2,4,3,3,3
87,Southern_Africa,Namibia,NAM,2,8,385,3,3,5,6,6,6,5,5,6,6,4,3,4,5,5,3,2,4,2,4,4,3,3
88,Southern_Africa,Botswana,BWA,2,8,560,3,3,3,4,5,5,5,6,6,6,5,3,5,6,5,2,2,3,2,3,4,3,3
89,Southern_Africa,Zambia_and_Malawi,ZMB,2,8,450,3,3,3,4,6,6,5,5,6,5,4,3,4,6,4,2,2,3,2,4,4,3,3
90,Southern_Africa,Mozambique_and_Zimbabwe,MOZ,2,8,350,3,3,3,4,5,6,5,5,6,6,5,3,3,5,4,5,5,4,2,4,4,4,3
91,Asia,Near_and_Middle_East,,1,5,400,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
92,Near_and_Middle_East,Israel,ISR,1,5,420,4,4,4,5,6,6,5,5,6,6,5,4,4,4,4,4,5,4,2,5,4,5,4
93,Near_and_Middle_East,Jordan_and_Palestina,JOR,1,5,350,4,4,6,6,6,4,3,3,5,6,6,4,4,4,3,2,2,4,2,5,4,3,3
94,Near_and_Middle_East,Lebanon_and_Syria,LBN,1,5,350,4,4,6,6,6,4,3,3,5,6,6,4,2,4,3,4,3,3,2,4,4,3,3
95,Near_and_Middle_East,Iraq_and_Kuwait,IRQ,2,5,420,4,4,5,5,5,4,4,4,4,5,5,4,2,3,2,4,4,3,2,4,4,3,3
96,Near_and_Middle_East,Iran,IRN,2,8,350,3,4,5,6,5,5,4,4,5,6,5,4,5,4,3,3,3,4,4,5,4,4,3
97,Near_and_Middle_East,United_Arab_Emirates,ARE,1,5,525,6,6,6,5,4,3,2,2,3,4,6,6,6,4,3,4,4,4,3,4,4,5,5
98,Near_and_Middle_East,Saudi-Arabia,SAU,2,8,560,6,6,5,4,4,3,2,2,3,4,6,6,6,4,2,4,4,3,2,4,4,4,3
99,Near_and_Middle_East,Oman_and_Yemen,OMN,1,6,490,6,6,6,5,4,3,2,2,3,4,6,6,4,4,3,3,3,3,2,4,4,5,3
100,Near_and_Middle_East,Qatar_and_Bahrain,QAT,1,2,525,6,6,5,4,4,3,2,2,3,4,6,6,5,4,2,5,5,4,3,4,4,4,5
101,Asia,Russland_and_Caucasus,,1,2,400,3,3,3,4,5,5,5,5,5,4,3,3,4,4,4,2,4,4,4,4,4,4,4
102,Russland_and_Caucasus,Caucasus,ARM,1,2,400,2,2,3,4,5,6,5,6,5,4,3,2,3,4,3,3,2,3,3,4,4,4,3
103,Russland_and_Caucasus,Russia_West,RUS_WE,2,4,400,2,2,2,3,4,5,6,5,4,3,2,2,4,4,3,3,3,4,2,5,4,5,5
104,Russland_and_Caucasus,Russia_South,RUS_SO,1,2,400,2,3,3,4,5,5,6,5,4,4,3,2,3,4,3,3,3,3,3,4,4,4,3
105,Russland_and_Caucasus,Russia_Central,RUS_CE,1,2,400,2,2,2,3,4,5,5,5,4,3,2,2,4,4,3,2,2,2,3,3,3,2,2
106,Russland_and_Caucasus,Russia_East,RUS_EA,1,2,400,2,2,2,2,3,4,5,4,3,2,2,2,4,4,3,2,2,2,3,2,3,2,2
107,Asia,South_Asia,,1,8,400,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
108,South_Asia,Pakistan,PAK,1,8,400,4,4,5,5,4,3,3,3,5,5,4,4,2,5,5,3,3,4,2,4,4,4,3
109,South_Asia,Nepal,NPL,1,8,400,3,4,5,6,5,4,3,3,4,6,5,4,5,5,6,2,2,3,3,4,4,3,2
110,South_Asia,Bhutan,BTN,1,8,250,4,4,5,5,4,3,3,3,5,6,6,5,6,6,5,2,1,3,3,5,4,3,2
111,South_Asia,India,,1,12,350,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
112,India,Himalayan_North_and_Plains,IND_NO,1,12,350,6,6,5,5,4,3,2,2,2,6,6,6,4,5,6,2,2,3,3,5,5,5,4
113,India,India_Northeast_and_Bangladesh,IND_NE,1,12,350,6,6,5,4,4,4,2,2,2,5,6,6,3,5,5,3,3,3,2,5,5,4,3
114,India,India_East,IND_EA,2,6,350,6,6,5,4,4,4,2,2,2,5,6,6,4,4,3,3,3,4,2,5,5,5,4
115,India,India_West,IND_WE,2,12,350,6,6,5,4,4,4,2,2,2,5,6,6,4,4,3,5,4,4,2,5,5,4,3
116,India,India_South,IND_SO,1,1,350,6,6,5,4,4,2,2,2,2,4,6,6,4,4,3,5,4,4,2,5,5,5,3
117,South_Asia,Sri_Lanka,LKA,1,8,360,5,5,5,4,3,3,3,4,5,4,5,5,4,4,3,5,5,4,2,5,4,4,3
118,South_Asia,Maldives,MDV,1,4,350,6,6,6,4,3,4,4,4,3,3,3,3,5,3,2,6,6,4,2,4,4,3,2
119,Asia,Southeast_Asia,,1,8,400,4,4,4,4,4,4,4,4,4,4,4,4,5,4,4,4,4,4,4,4,4,4,4
120,Southeast_Asia,Myanmar,MMR,2,8,450,6,6,4,2,2,2,3,3,3,4,6,6,5,4,4,4,4,4,2,6,4,3,3
121,Southeast_Asia,Thailand_North_and_Laos,THA_NO,1,8,360,6,6,5,2,2,3,3,3,3,4,6,6,5,5,5,3,2,5,2,5,5,5,3
122,Southeast_Asia,Thailand_South,THA_SO,1,8,375,6,5,5,3,3,4,4,4,4,5,6,6,5,5,4,6,5,4,2,4,5,3,3
123,Southeast_Asia,Vietnam_and_Cambodia,VNM,1,8,375,6,6,5,2,2,3,3,3,3,4,6,6,5,5,4,4,3,4,2,5,4,4,2
124,Southeast_Asia,West_Malaysia_and_Singapur,MYS_WE,1,8,510,4,4,5,5,5,5,4,4,5,5,5,4,6,5,3,5,4,4,2,4,4,5,5
125,Southeast_Asia,Borneo,MYS_BO,2,12,460,3,4,5,5,5,5,4,4,5,5,4,3,5,5,3,4,4,3,2,4,3,2,2
126,Southeast_Asia,Indonesia,,2,16,400,4,4,4,4,4,4,4,4,4,4,4,4,5,4,4,4,4,4,4,4,4,4,4
127,Indonesia,Sumatra_and_Java,IDN_SU,2,16,400,2,3,4,4,6,6,6,6,5,4,3,2,5,5,5,4,5,4,2,5,4,5,4
128,Indonesia,Bali_and_Lombok,IDN_BA,1,8,400,2,2,3,4,5,6,6,6,6,5,4,3,5,5,4,5,5,4,2,4,4,4,3
129,Indonesia,Indonesian_islands_west_of_Lombok,IDN_RE,2,16,400,2,2,3,4,5,6,6,6,6,5,4,3,5,5,3,4,4,3,2,4,4,2,2
130,Southeast_Asia,Philippines,PHL,2,12,375,5,6,6,6,4,3,2,2,2,3,3,4,4,4,4,5,5,4,2,5,4,3,3
131,Asia,East_Asia,,1,8,450,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
132,East_Asia,China,,1,4,450,4,4,4,4,4,4,4,4,4,4,4,4,5,4,4,4,4,4,4,4,4,4,4
