,Parent_region,Region,SQL_unique_name,Time_to_75__percentage_daily_utility_in_weeks,Time_to_25__percentage_daily_utility_in_weeks,Avg_cost_per_week,January,February,March,April,May,June,July,August,September,October,November,December,Safety from crime,Nature_wildlife,Hiking,Beach,Water_sports,Entertainment,Winter_sports,Culture,Culinary_arts,Cities_architecture,Shopping
183,Eastern_Europe,Serbia_Bosnia_and_Herzegovina_Montenegro,SRB,1,4,350,3,3,3,4,6,6,5,5,6,6,4,3,5,3,3,2,2,3,2,4,4,3,3
184,Eastern_Europe,Albania_Kosovo,ALB,1,2,350,3,3,3,4,6,6,5,5,6,6,4,3,5,3,3,4,3,3,2,4,4,3,3
185,Europe,Southern_Europe,,1,8,350,3,3,4,6,6,6,5,5,6,6,5,4,4,4,4,4,4,4,4,4,4,4,4
186,Southern_Europe,Corsica_and_Sardinia,FRA_CO,1,4,350,3,3,4,6,6,6,5,5,6,6,5,4,4,4,4,5,4,3,2,4,4,3,3
187,Southern_Europe,Italy_and_Malta,ITA,1,12,350,3,3,4,6,6,6,5,5,6,6,5,4,4,5,5,5,5,4,2,6,5,6,4
188,Southern_Europe,Greece_mainland,GRC_ML,1,6,350,3,3,4,6,6,6,5,5,6,6,5,4,4,5,5,5,5,4,2,5,5,5,4
189,Southern_Europe,Greece_islands,GRC_IS,1,8,350,3,3,4,6,6,6,5,5,6,6,5,4,4,5,4,6,5,5,2,6,5,4,3
190,Southern_Europe,Spain_mainland,ESP_ML,1,8,350,3,3,4,6,6,6,5,5,6,6,5,4,4,4,3,6,5,5,2,5,5,5,4
191,Southern_Europe,Spain_Balearic_Islands,ESP_BA,1,2,350,3,3,4,5,6,6,5,5,6,6,4,3,4,5,5,6,5,6,2,4,5,4,3
192,Southern_Europe,Spain_Canary_islands,ESP_CA,1,2,350,5,5,5,6,6,6,5,5,6,6,6,4,4,4,4,5,4,5,2,4,4,4,3
193,Southern_Europe,Portugal_mainland,PRT,1,5,350,3,3,4,6,6,6,5,5,6,6,5,4,4,4,4,5,4,4,2,5,5,5,3
194,Southern_Europe,Portugal_islands,PRT_IS,1,8,350,3,3,4,6,6,6,5,5,6,6,5,4,4,5,5,5,5,4,2,5,4,4,3
195,Southern_Europe,Turkey,TUR,1,6,350,3,3,4,6,6,6,5,5,6,6,5,4,4,4,4,5,4,4,4,6,5,5,4
196,Southern_Europe,Cyprus,CYP,1,6,350,3,3,4,6,6,6,5,5,6,6,5,4,4,3,4,5,5,4,2,5,4,4,3
